channel,video_id,title,keyword,published_at,CommentId,CommentTitle,CommentCreationTime,CommentLikes
MSNBC,NRUHm_DPTXQ,‘Terror as a tactic’: Threat of MAGA mob looms over 2024 Republican primary,Terrorism,2024-01-13T01:40:58Z,UgzvnRElOLj9NQJejbB4AaABAg,Trump will for sure want the third term and the fourth as well to avoid jail if he's still alive then.,2024-01-13T02:30:29Z,53
MSNBC,NRUHm_DPTXQ,‘Terror as a tactic’: Threat of MAGA mob looms over 2024 Republican primary,Terrorism,2024-01-13T01:40:58Z,UgxM7TocYQusFLliWxZ4AaABAg,It is a fact that the true cause of these insane threats taking place is because of social media networks. All it takes is one frustrated individual with problems.,2024-01-13T15:44:56Z,5
MSNBC,NRUHm_DPTXQ,‘Terror as a tactic’: Threat of MAGA mob looms over 2024 Republican primary,Terrorism,2024-01-13T01:40:58Z,UgzP_Lrhfg2-QFFEMZB4AaABAg,"Thanks, Chris….i just had an anxiety attack after listening to your description of trump & the trouble our country is in.  Eeek ‼️",2024-01-13T11:49:46Z,5
MSNBC,NRUHm_DPTXQ,‘Terror as a tactic’: Threat of MAGA mob looms over 2024 Republican primary,Terrorism,2024-01-13T01:40:58Z,UgwDIcuvrvfXZAYdral4AaABAg,Threats are all that he has. Tried to pretend he had hells angels on his side in 2016.,2024-01-13T02:10:26Z,41
MSNBC,NRUHm_DPTXQ,‘Terror as a tactic’: Threat of MAGA mob looms over 2024 Republican primary,Terrorism,2024-01-13T01:40:58Z,Ugw2sMFqL9FsH_u35fJ4AaABAg,He just needs to permanently go away!. 😮,2024-01-13T02:46:13Z,5
MSNBC,NRUHm_DPTXQ,‘Terror as a tactic’: Threat of MAGA mob looms over 2024 Republican primary,Terrorism,2024-01-13T01:40:58Z,Ugz05pyCJQMpd8jmhZF4AaABAg,"This is the reason we have the fourteenth amendment: to bar an insurrectionist from serving in the office of president!  But people have NO backbone to stand up to tDump! Except for a few (thanks to CREW)!
Vote 💙💙💙💙💙💙💙💙🇺🇸",2024-01-13T01:57:23Z,68
MSNBC,NRUHm_DPTXQ,‘Terror as a tactic’: Threat of MAGA mob looms over 2024 Republican primary,Terrorism,2024-01-13T01:40:58Z,UgyksChWPumT5o-KkJh4AaABAg,Trump wouldn't brave the cold or respect the voter's in Iowa to even show up and debate the other candidates.,2024-01-13T01:59:24Z,61
MSNBC,NRUHm_DPTXQ,‘Terror as a tactic’: Threat of MAGA mob looms over 2024 Republican primary,Terrorism,2024-01-13T01:40:58Z,Ugw8l655ZOooCvQS4rR4AaABAg,"Megalomanic 
Approved 
Gang 
Aggression......",2024-01-13T01:49:59Z,14
MSNBC,NRUHm_DPTXQ,‘Terror as a tactic’: Threat of MAGA mob looms over 2024 Republican primary,Terrorism,2024-01-13T01:40:58Z,UgyJCjBdHiqi95rpvId4AaABAg,"No person shall be a Senator or Representative in Congress, or elector of President and Vice-President, or hold any office, civil or military, under the United States, or under any State, who, having previously taken an oath, as a member of Congress, or as an officer of the United States, or as a member of any State legislature, or as an executive or judicial officer of any State, to support the Constitution of the United States, shall have engaged in insurrection or rebellion against the same, or given aid or comfort to the enemies thereof. But Congress may by a vote of two-thirds of each House, remove such disability. If you are wondering about the President being an Officer, he is the supreme Officer in the land, the Commander in Chief.",2024-01-13T02:19:14Z,36
MSNBC,NRUHm_DPTXQ,‘Terror as a tactic’: Threat of MAGA mob looms over 2024 Republican primary,Terrorism,2024-01-13T01:40:58Z,UgzG3CUdPCMug-RfV9B4AaABAg,Menace to democracy is a perfect headline,2024-01-13T02:42:14Z,7
MSNBC,NRUHm_DPTXQ,‘Terror as a tactic’: Threat of MAGA mob looms over 2024 Republican primary,Terrorism,2024-01-13T01:40:58Z,Ugyzd3wH9bM-7tiMX7N4AaABAg,"Normalizing Trump was our first mistake. 
Lock him up.",2024-01-13T02:43:06Z,16
MSNBC,NRUHm_DPTXQ,‘Terror as a tactic’: Threat of MAGA mob looms over 2024 Republican primary,Terrorism,2024-01-13T01:40:58Z,UgwwytjjiB_V8d_XWyh4AaABAg,"Thank you Chris! I will vote for ANYONE but Donnie Trump in 2024.. even if he is still semi healthy 🤪 the absolute loser in EVERY way, including the 2020 presidential election!! I'd rather vote for an unindicted ham sandwich! 🥪",2024-01-13T02:38:01Z,72
MSNBC,NRUHm_DPTXQ,‘Terror as a tactic’: Threat of MAGA mob looms over 2024 Republican primary,Terrorism,2024-01-13T01:40:58Z,Ugy2KP9HYB280f9qNUp4AaABAg,Thanks Chris 💙💙💙,2024-01-13T16:11:53Z,2
MSNBC,NRUHm_DPTXQ,‘Terror as a tactic’: Threat of MAGA mob looms over 2024 Republican primary,Terrorism,2024-01-13T01:40:58Z,Ugz1YhSab8s_TDeCX_54AaABAg,"I have my doubts about these dt ""polls""...The town hall on Fox showed not all in that audience was ""enthused"" with him...there wasn't an abundance of applause for a lot of his accusations, statements & LIES🙄😒🤔",2024-01-13T03:14:01Z,10
MSNBC,NRUHm_DPTXQ,‘Terror as a tactic’: Threat of MAGA mob looms over 2024 Republican primary,Terrorism,2024-01-13T01:40:58Z,UgyXLZBPFnveHauJL014AaABAg,"Mitch McConnell used this quote to explain why he did not vote to impeach Trump.
""While former officials are not eligible for impeachment or conviction,
they are still liable to be tried and punished in the ordinary tribunals of justice.""",2024-01-13T01:53:37Z,81
MSNBC,NRUHm_DPTXQ,‘Terror as a tactic’: Threat of MAGA mob looms over 2024 Republican primary,Terrorism,2024-01-13T01:40:58Z,UgxYbRWAqJvkelmHz5p4AaABAg,"I hear McDonalds are issuing a new Burger for the 2024 Election Season. It's to be called the 'Donald The Fifth Burger'. 
You open it and there's fukall inside.",2024-01-13T01:48:51Z,34
MSNBC,NRUHm_DPTXQ,‘Terror as a tactic’: Threat of MAGA mob looms over 2024 Republican primary,Terrorism,2024-01-13T01:40:58Z,UgzchCT7aKm9KHqmUtF4AaABAg,What a shame. They need to all be put in jail. Some of these Republicans have coped out. With this pitifully excuse.,2024-01-13T03:01:45Z,26
MSNBC,NRUHm_DPTXQ,‘Terror as a tactic’: Threat of MAGA mob looms over 2024 Republican primary,Terrorism,2024-01-13T01:40:58Z,UgxY1X61hgEjDE1QBS54AaABAg,"Are we living an episode of The Twilight Zone, or does America truly want Trump as a dictator?",2024-01-13T02:16:09Z,83
MSNBC,NRUHm_DPTXQ,‘Terror as a tactic’: Threat of MAGA mob looms over 2024 Republican primary,Terrorism,2024-01-13T01:40:58Z,UgzW7IWC2NtlLikYRER4AaABAg,9:02 voters can think of themselves as hiring managers and candidates are the job applicants.  Now who do you want to share workspace with and depend on for your best chance of a good life?,2024-01-13T02:05:17Z,12
MSNBC,NRUHm_DPTXQ,‘Terror as a tactic’: Threat of MAGA mob looms over 2024 Republican primary,Terrorism,2024-01-13T01:40:58Z,UgzGD8FE00WaNAB8uMt4AaABAg,What a strange universe they live in,2024-01-13T02:11:43Z,6
MSNBC,NRUHm_DPTXQ,‘Terror as a tactic’: Threat of MAGA mob looms over 2024 Republican primary,Terrorism,2024-01-13T01:40:58Z,UgyG612V_XqkM8aeDN94AaABAg,"The Prince of Lies weaponizes his demonic legion to fight the forces of goodness. ""When he lies, he speaks his native language, for he is a liar and the father of lies."" - John 8:14.",2024-01-13T03:12:29Z,6
MSNBC,NRUHm_DPTXQ,‘Terror as a tactic’: Threat of MAGA mob looms over 2024 Republican primary,Terrorism,2024-01-13T01:40:58Z,Ugz4z3BRitC6Ebt5mzp4AaABAg,"'Repeat a lie often enough and people will believe it.'
Joey Goebbels",2024-01-13T15:11:08Z,5
MSNBC,NRUHm_DPTXQ,‘Terror as a tactic’: Threat of MAGA mob looms over 2024 Republican primary,Terrorism,2024-01-13T01:40:58Z,Ugyx9TSOAkZHn21dpch4AaABAg,"when you act like a cult you are probably in a cult
most cults end poorly ,even those that take over ...read the history of cults",2024-01-13T02:10:16Z,17
MSNBC,NRUHm_DPTXQ,‘Terror as a tactic’: Threat of MAGA mob looms over 2024 Republican primary,Terrorism,2024-01-13T01:40:58Z,UgxQjHl6STbJX13aGv54AaABAg,"Take trumps security detail away, give it to the people who are being threatened, and send trump the bill, and if he doesn't pay it, confiscate his property!",2024-01-13T03:34:18Z,2
MSNBC,NRUHm_DPTXQ,‘Terror as a tactic’: Threat of MAGA mob looms over 2024 Republican primary,Terrorism,2024-01-13T01:40:58Z,Ugyh3HrJDDK7YujsMRZ4AaABAg,"What Trump is really saying is, if a President is not allowed to break the law, he will never be able to do his job.",2024-01-13T01:59:37Z,84
MSNBC,NRUHm_DPTXQ,‘Terror as a tactic’: Threat of MAGA mob looms over 2024 Republican primary,Terrorism,2024-01-13T01:40:58Z,Ugzn2LwHONoJkOtff514AaABAg,we stand with facts and democracy against the lunatic fringe aka maganiacs.,2024-01-13T02:11:23Z,16
MSNBC,NRUHm_DPTXQ,‘Terror as a tactic’: Threat of MAGA mob looms over 2024 Republican primary,Terrorism,2024-01-13T01:40:58Z,Ugy9Vh44zyNq-Cv8hcl4AaABAg,Phenomenal segment thank you,2024-01-13T01:54:21Z,22
MSNBC,NRUHm_DPTXQ,‘Terror as a tactic’: Threat of MAGA mob looms over 2024 Republican primary,Terrorism,2024-01-13T01:40:58Z,Ugz106oOIkPMjXNSK2l4AaABAg,Why does no one talk face to face to the republicans in Congress about this? They are voting for him.,2024-01-13T02:33:57Z,17
MSNBC,NRUHm_DPTXQ,‘Terror as a tactic’: Threat of MAGA mob looms over 2024 Republican primary,Terrorism,2024-01-13T01:40:58Z,UgzSQKNJyxV7woIfOVB4AaABAg,"I walked away from the Republican Party back in the 80's, when I moved to Oregon and met a bunch of cretins who were running it on the basis of homophobia and misogyny.  I'd rather disagree with people over economics than demonize them based on their gender or skin color or orientation.  But that makes me old enough to remember when we had a Center-Left vs Center-Right two-party system.  The Democrats are now further Right than Ronald Reagan was yet the Rabid Right continues to yell that ""commies are coming! the commies are coming!""  I heard one Iowa Republican say that they weren't INTERESTED in ""unifying the country"" if it meant having to work with Demons and Communists....and I just don't understand?  This country has moved so far to the right in my lifetime that I barely recognize it yet the yahoos insist there is so much further to go.  It seems like none of them can enunciate WHERE they would like to wind up and I suspect because it's somewhere that exists only for them, with only their power left.  It's offed up.  I just hope they don't succeed in taking everyone down with them.",2024-01-16T00:17:43Z,2
MSNBC,NRUHm_DPTXQ,‘Terror as a tactic’: Threat of MAGA mob looms over 2024 Republican primary,Terrorism,2024-01-13T01:40:58Z,UgzLcqpsi0kBk3GcnbV4AaABAg,The Republican party went from holding a debate with an empty chair in 2012  to an empty chair winning the debates to decide who will be their presidential candidate. That's progress.,2024-01-13T06:40:49Z,1
MSNBC,NRUHm_DPTXQ,‘Terror as a tactic’: Threat of MAGA mob looms over 2024 Republican primary,Terrorism,2024-01-13T01:40:58Z,UgzEMD-oobEHYS788-h4AaABAg,"There's nothing worse than a cold caucus! Sorry, I couldn't resist.",2024-01-13T01:47:26Z,11
MSNBC,NRUHm_DPTXQ,‘Terror as a tactic’: Threat of MAGA mob looms over 2024 Republican primary,Terrorism,2024-01-13T01:40:58Z,Ugzg3bRbcfnrgcRaXVZ4AaABAg,"This is why I’m pretty
much done with anyone
who claims to be a “normal”
republican…..they don’t exist
anymore, and when I ask my
R friends about these dangerous 
threatening behaviors, not a
ONE of them has an answer",2024-01-16T18:58:21Z,1
MSNBC,NRUHm_DPTXQ,‘Terror as a tactic’: Threat of MAGA mob looms over 2024 Republican primary,Terrorism,2024-01-13T01:40:58Z,UgzZK29XbZ0NDfH90fl4AaABAg,BRING IT MAGA.,2024-01-13T01:48:29Z,21
MSNBC,NRUHm_DPTXQ,‘Terror as a tactic’: Threat of MAGA mob looms over 2024 Republican primary,Terrorism,2024-01-13T01:40:58Z,Ugya7vZDMOEjhy3plJV4AaABAg,"I now hear people openly saying:
 'Maybe Trump needs a taste of what his acolytes are threatening to others?'",2024-01-13T02:03:55Z,28
MSNBC,NRUHm_DPTXQ,‘Terror as a tactic’: Threat of MAGA mob looms over 2024 Republican primary,Terrorism,2024-01-13T01:40:58Z,UgwFzLZcYhLkTNgoqQl4AaABAg,The best part about dear leader losing bigly will be the crying!,2024-01-13T14:45:03Z,1
MSNBC,NRUHm_DPTXQ,‘Terror as a tactic’: Threat of MAGA mob looms over 2024 Republican primary,Terrorism,2024-01-13T01:40:58Z,UgyhaPui2QQ7uWQ0ye14AaABAg,This is what people in brown shirts did in the 30s somewhere in Europe.,2024-01-13T12:14:32Z,4
MSNBC,NRUHm_DPTXQ,‘Terror as a tactic’: Threat of MAGA mob looms over 2024 Republican primary,Terrorism,2024-01-13T01:40:58Z,UgxpR4rsyskb6divEh54AaABAg,Yes. Great reporting and glad to hear it clearly stated but ….what can be done to turn the tide?,2024-01-13T04:24:14Z,2
MSNBC,NRUHm_DPTXQ,‘Terror as a tactic’: Threat of MAGA mob looms over 2024 Republican primary,Terrorism,2024-01-13T01:40:58Z,UgylYYweJKAAugMSAz94AaABAg,is now facing years in prison ?,2024-01-13T08:27:13Z,2
