,id,channel_name,title,keyword,published_at,VideoViews
66,pppRZ8whlCQ,Ben Shapiro,The Democrats’ Abortion Celebration | Ep. 1549,Abortion,2022-08-04T17:00:09Z,162593
67,IuuYl_zXjUw,Ben Shapiro,Joe Biden Is Made Of Covid | Ep. 1546,Covid,2022-08-01T17:00:09Z,224484
68,PUNjDQttyzU,Ben Shapiro,Ben Shapiro SHREDS Bill Nye and Other Abortion Activists,Abortion,2022-07-30T17:15:00Z,542857
69,_1If5eD1TOA,Ben Shapiro,Whatever Argument You Make for Abortion Can Also Be Used on Adult Humans,Abortion,2022-07-24T21:00:12Z,590532
70,8aVSOXfBOhE,Ben Shapiro,One of the Bravest Voices in the Music Industry | John Rich,Rich,2022-07-22T23:41:38Z,111895
71,1c2jdkCsOok,Ben Shapiro,Biden Has Covid | Ep. 1540,Covid,2022-07-22T17:00:11Z,213896
72,LHnOZHbvigE,Ben Shapiro,"The Real National Emergency Isn’t Climate Change, It’s Weakness | Ep. 1538",Climate,2022-07-20T17:00:09Z,208556
73,LJGrVvpFJZk,Ben Shapiro,The Most Articulate Response to the Overturning of Roe v Wade,Roe,2022-07-14T19:00:06Z,158963
74,8ort-6dUUzk,Ben Shapiro,Joe Biden’s Economy Is In Flames | Ep. 1534,Economy,2022-07-14T17:00:08Z,239863
75,LmUipuPcPEY,Ben Shapiro,This Roe v. Wade Argument Makes NO Sense,Roe,2022-07-07T19:00:16Z,276672
76,t6_VwWXBWo0,Ben Shapiro,Everything You Need to Know About the Highland Park Shooting,Shooting,2022-07-05T23:00:20Z,272840
77,bh02aXhDAIU,Ben Shapiro,Ben Shapiro Exposes the DISGUSTING REALITY Of Abortion,Abortion,2022-07-03T17:00:30Z,380374
78,WNx7s58q5cY,Ben Shapiro,Former Abortionist Reacts To Roe v. Wade Ruling,Roe,2022-06-29T01:00:05Z,201575
79,7xRCoQIDgIE,Ben Shapiro,What Is the Pro-life Stance on Preserving the Life of the Mother?,Pro-life,2022-06-27T19:15:00Z,132357
80,-Z9E3kgx9lE,Ben Shapiro,"Roe Is Gone, And The Left Is Melting Down | Ep. 1523",Roe,2022-06-27T17:00:09Z,332161
81,S0XQW2B_kBo,Ben Shapiro,When Life Begins Is Science – Not Religion | With Lila Rose,Religion,2022-06-26T19:00:11Z,243494
82,mee1F4h_DTA,Ben Shapiro,Abortion Is Evil – No Matter What,Abortion,2022-06-25T21:00:18Z,239334
83,4HXBF6HJVmY,Ben Shapiro,Ben Shapiro Breaks Down The Media's Gun Control LIES,Gun,2022-06-25T17:00:02Z,149365
84,dwQ3VoLI2wM,Ben Shapiro,"Goodbye, Roe v. Wade | Ep. 1522",Roe,2022-06-24T20:24:24Z,279291
85,4OnjP_ZHHao,Ben Shapiro,The CRAZIEST Leftist Reactions To Roe and Casey Being Overturned,Roe,2022-06-24T19:00:03Z,432164
86,w2rhyRQ5_zA,Ben Shapiro,Ben Shapiro REACTS to Biden's Remarks on Roe v Wade Being Overturned,Roe,2022-06-24T18:30:53Z,458620
87,h8P7b3WF5no,Ben Shapiro,LIVE: Ben Shapiro Reacts to SCOTUS Ruling on Abortion,Abortion,2022-06-24T17:04:05Z,740374
88,mEOnY4dugKc,Ben Shapiro,"""This Is Just The Beginning"": Lila Rose and Ben Shapiro React to Roe v. Wade Being Overturned",Roe,2022-06-24T17:00:35Z,114096
89,qZFKU32JsuU,Ben Shapiro,Joe Biden’s Gas Problem | Ep. 1521,Gas,2022-06-23T17:00:09Z,208869
90,m8QixpEQF4s,Ben Shapiro,Is Biden Going To Win On Gun Control?,Gun,2022-06-22T22:30:03Z,163929
91,TudMlddmerM,Ben Shapiro,The Left LIES About Taxing The Rich,Rich,2022-06-22T19:00:10Z,119277
92,UkPXHWdZ3jY,Ben Shapiro,"Debunked: ""The Rich Don’t Pay Their Fair Share""",Rich,2022-06-19T19:30:02Z,275763
93,GDhosImtiTM,Ben Shapiro,Joe Biden Is Running The Economy Into An Iceberg | Ep. 1515,Economy,2022-06-15T17:00:11Z,224533
94,nPcgvIMBv-A,Ben Shapiro,Biden’s Bear Market Arrives | Ep. 1514,Market,2022-06-14T17:00:08Z,231640
95,-WilR1fWzmY,Ben Shapiro,"""Tom Cruise May Be The Last True Movie Star"" | Ben Shapiro Reviews “Top Gun: Maverick” [SPOILERS]",Gun,2022-05-28T18:24:20Z,1507570
96,OCJpgUuFcf0,Ben Shapiro,Inflation Is The Saddest Song,Inflation,2022-05-27T00:30:04Z,905546
97,MHg4CPmnqow,Ben Shapiro,Why We Need To Stop Politicizing Mass Shootings,Shooting,2022-05-25T23:45:01Z,126169
98,g4t6xHU6J3Y,Ben Shapiro,Everything You Need To Know About The Tragic Uvalde Shooting,Shooting,2022-05-25T22:43:18Z,466098
99,eNglv-w9OlY,Ben Shapiro,The Vicious Political Manipulation of Another Evil School Shooting | Ep. 1502,Shooting,2022-05-25T17:00:11Z,286927
100,EEfG_0acVf0,Ben Shapiro,Blaming Tucker Carlson For Mass Shootings | Ep. 1496,Shooting,2022-05-17T17:00:08Z,323972
101,GzhRDppjpFU,Ben Shapiro,Here's What The Media Is Saying About The Buffalo Shooting,Shooting,2022-05-16T23:30:02Z,172319
102,IA1-_QGNSkc,Ben Shapiro,Everything You Need To Know About The Tragic Buffalo Shooting,Shooting,2022-05-16T22:09:30Z,331290
103,QEW3Pves_BM,Ben Shapiro,Everyone I Don’t Like Is Responsible For Mass Shootings | Ep. 1495,Shooting,2022-05-16T17:00:11Z,288874
104,rIMagrezinw,Ben Shapiro,Dems Bet Big On Abortion | Ep. 1490,Abortion,2022-05-09T17:00:10Z,270903
105,AmtsDxktx68,Ben Shapiro,SUPERCUT: Ben Shapiro's BEST Arguments Against Abortion,Abortion,2022-05-08T16:30:01Z,587142
106,Cm3BhXQtbLc,Ben Shapiro,INSANE: Dem Lawmakers MELTDOWN Over Roe v. Wade Being Overturned,Roe,2022-05-05T00:30:07Z,125237
107,3etTNuhtMho,Ben Shapiro,Here’s Exactly What Overturning Roe v. Wade Would ACTUALLY Do,Roe,2022-05-04T23:25:27Z,215406
108,Sa4ij1FVbCY,Ben Shapiro,The Left’s Abortion Meltdown | Ep. 1487,Abortion,2022-05-04T17:00:12Z,276592
109,qNS1chtkiX4,Ben Shapiro,Ben Shapiro Breaks Down LEAKED Supreme Court Draft Decision On ABORTION,Abortion,2022-05-03T20:51:56Z,443702
110,YxRezJiZHE8,Ben Shapiro,Is Roe About To Be Overturned?! |  Ep. 1486,Roe,2022-05-03T17:00:11Z,343662
111,FxbHHfI3-AQ,Ben Shapiro,Joe Biden's Crashing Economy |  Ep. 1483,Economy,2022-04-28T17:00:12Z,206820
112,RhLbz5hGwjc,Ben Shapiro,“MYSTERIES” of the Biden Family Riches REVEALED,Rich,2022-04-28T14:49:46Z,61836
113,SOUXgnXHxoE,Ben Shapiro,Climate Change Is NOT An Emergency — Here Are The Facts,Climate,2022-04-14T00:00:07Z,745753
114,JuhH_ru1AUI,Ben Shapiro,Shapiro Breaks Down HORRIFYING Statistics Showing MASSIVE Inflation,Inflation,2022-04-12T22:16:33Z,114371
